action,advpnsc,assignip,bandwidth,cookies,cpu,date,devid,devname,dhcp_msg,disk,disklograte,duration,eventtime,fazlograte,freediskstorage,group,hostname,idseq,interface,ip,itime,lease,level,locip,locport,logdesc,logid,logver,mac,mem,msg,nextstat,outintf,rcvdbyte,remip,remport,sentbyte,setuprate,subtype,sysuptime,time,totalsession,tunnelid,tunnelip,tunneltype,type,tz,user,useralt,vd,vpntunnel,waninfo,xauthgroup,xauthuser
,,,,,,2025-07-06,FGT80FTK22013405,asd-bari,Ack,,,,1751754624843767899,,,,ArcherAX55,19900372806008834,internal1,10.63.44.101,1751754627,86400,information,,,DHCP Ack log,0100026001,0702111740,9C:53:22:49:C7:8C,,DHCP server sends a DHCPACK,,,,,,,,system,,00:30:24,,,,,event,+0200,,,root,,,,
tunnel-stats,0,N/A,,5df8cf6e832e3278/7c26da8af8e39c6e,,2025-07-06,FGT80FTK22013405,asd-bari,,,,1114987,1751754684862908499,,,N/A,,19900372806008832,,,1751754689,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,IPsec tunnel statistics,600,wan1,185308176,88.61.48.146,500,400945590,,vpn,,00:31:24,,2206215695,N/A,ipsec,event,+0200,88.61.48.146,N/A,root,to-pescara-pri,,N/A,N/A
perf-stats,,,6/3,,0,2025-07-06,FGT80FTK22013405,asd-bari,,0,0,,1751754720597425659,0,0,,,19900372806008832,,,1751754725,,notice,,,System performance statistics,0100040704,0702111740,,40,Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  44; setup-rate: 0,,,,,,,0,system,1115536,00:32:01,44,,,,event,+0200,,,root,,name=wan1;bytes=1516715254/6481088798;packets=7849124/10090377;,,
,,,,,,2025-07-06,FGT80FTK22013405,asd-bari,Ack,,,,1751754735214176279,,,,ArcherAX55,19900372806008868,internal1,10.63.44.101,1751754739,86400,information,,,DHCP Ack log,0100026001,0702111740,9C:53:22:49:C7:8C,,DHCP server sends a DHCPACK,,,,,,,,system,,00:32:15,,,,,event,+0200,,,root,,,,
