action,app,appcat,craction,crlevel,crscore,date,devid,devname,dstcountry,dstintf,dstintfrole,dstip,dstport,duration,eventtime,idseq,itime,level,logid,logver,policyid,policytype,proto,rcvdbyte,rcvdpkt,sentbyte,sentpkt,service,sessionid,srccountry,srcintf,srcintfrole,srcip,srcport,subtype,time,trandisp,type,tz,vd
deny,tcp/39999,unscanned,262144,low,5,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,39999,0,1751754580373266859,19900372806008863,1751754584,notice,0001000014,0702111740,0,local-in-policy,6,0,0,0,0,tcp/39999,607126,Bulgaria,wan1,wan,83.222.190.254,42000,local,00:29:41,noop,traffic,+0200,root
accept,SNMP,unscanned,,,,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,161,180,1751754594322840799,19900372806008860,1751754594,notice,0001000014,0702111740,0,local-in-policy,17,622,2,174,2,SNMP,607051,Italy,wan1,wan,212.131.197.170,47858,local,00:29:54,noop,traffic,+0200,root
deny,tcp/57212,unscanned,262144,low,5,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,57212,0,1751754594441137879,19900372806008861,1751754594,notice,0001000014,0702111740,0,local-in-policy,6,0,0,0,0,tcp/57212,607128,United States,wan1,wan,162.142.125.239,20851,local,00:29:54,noop,traffic,+0200,root
deny,tcp/12586,unscanned,262144,low,5,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,12586,0,1751754596142048139,19900372806008841,1751754599,notice,0001000014,0702111740,0,local-in-policy,6,0,0,0,0,tcp/12586,607129,Hong Kong,wan1,wan,154.212.141.187,58914,local,00:29:56,noop,traffic,+0200,root
accept,SNMP,unscanned,,,,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,161,180,1751754604582841359,19900372806008859,1751754609,notice,0001000014,0702111740,0,local-in-policy,17,608,2,174,2,SNMP,607054,Italy,wan1,wan,212.131.197.170,54395,local,00:30:04,noop,traffic,+0200,root
deny,tcp/22323,unscanned,262144,low,5,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,22323,0,1751754607283946859,19900372806008860,1751754609,notice,0001000014,0702111740,0,local-in-policy,6,0,0,0,0,tcp/22323,607134,United Kingdom,wan1,wan,35.203.210.151,49800,local,00:30:07,noop,traffic,+0200,root
