LineId,Timestamp,action,app,appcat,craction,crlevel,crscore,date,devid,devname,dstcountry,dstintf,dstintfrole,dstip,dstport,duration,eventtime,idseq,itime,level,logid,logver,policyid,policytype,proto,rcvdbyte,rcvdpkt,sentbyte,sentpkt,service,sessionid,srccountry,srcintf,srcintfrole,srcip,srcport,subtype,time,trandisp,type,tz,vd,Content,EventId,Template
1,N/A,deny,tcp/39999,unscanned,262144,low,5,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,39999,0,1751754580373266859,19900372806008863,1751754584,notice,0001000014,0702111740,0,local-in-policy,6,0,0,0,0,tcp/39999,607126,Bulgaria,wan1,wan,83.222.190.254,42000,local,00:29:41,noop,traffic,+0200,root,"logver=0702111740 idseq=19900372806008863 itime=1751754584 devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 time=00:29:41 eventtime=1751754580373266859 tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" srcip=83.222.190.254 srcport=42000 srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 dstport=39999 dstintf=""root"" dstintfrole=""undefined"" srccountry=""Bulgaria"" dstcountry=""Italy"" sessionid=607126 proto=6 action=""deny"" policyid=0 policytype=""local-in-policy"" service=""tcp/39999"" trandisp=""noop"" app=""tcp/39999"" duration=0 sentbyte=0 rcvdbyte=0 sentpkt=0 rcvdpkt=0 appcat=""unscanned"" crscore=5 craction=262144 crlevel=""low""",E1,"logver=0702111740 idseq=19900372806008863 itime=1751754584 devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 time=00:29:41 eventtime=1751754580373266859 tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" srcip=83.222.190.254 srcport=42000 srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 dstport=39999 dstintf=""root"" dstintfrole=""undefined"" srccountry=""Bulgaria"" dstcountry=""Italy"" sessionid=607126 proto=6 action=""deny"" policyid=0 policytype=""local-in-policy"" service=""tcp/39999"" trandisp=""noop"" app=""tcp/39999"" duration=0 sentbyte=0 rcvdbyte=0 sentpkt=0 rcvdpkt=0 appcat=""unscanned"" crscore=5 craction=262144 crlevel=""low"""
2,N/A,accept,SNMP,unscanned,,,,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,161,180,1751754594322840799,19900372806008860,1751754594,notice,0001000014,0702111740,0,local-in-policy,17,622,2,174,2,SNMP,607051,Italy,wan1,wan,212.131.197.170,47858,local,00:29:54,noop,traffic,+0200,root,"logver=0702111740 idseq=19900372806008860 itime=1751754594 devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 time=00:29:54 eventtime=1751754594322840799 tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" srcip=212.131.197.170 srcport=47858 srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 dstport=161 dstintf=""root"" dstintfrole=""undefined"" srccountry=""Italy"" dstcountry=""Italy"" sessionid=607051 proto=17 action=""accept"" policyid=0 policytype=""local-in-policy"" service=""SNMP"" trandisp=""noop"" app=""SNMP"" duration=180 sentbyte=174 rcvdbyte=622 sentpkt=2 rcvdpkt=2 appcat=""unscanned""",E2,"logver=0702111740 idseq=19900372806008860 itime=1751754594 devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 time=00:29:54 eventtime=1751754594322840799 tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" srcip=212.131.197.170 srcport=47858 srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 dstport=161 dstintf=""root"" dstintfrole=""undefined"" srccountry=""Italy"" dstcountry=""Italy"" sessionid=607051 proto=17 action=""accept"" policyid=0 policytype=""local-in-policy"" service=""SNMP"" trandisp=""noop"" app=""SNMP"" duration=180 sentbyte=174 rcvdbyte=622 sentpkt=2 rcvdpkt=2 appcat=""unscanned"""
3,N/A,deny,tcp/57212,unscanned,262144,low,5,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,57212,0,1751754594441137879,19900372806008861,1751754594,notice,0001000014,0702111740,0,local-in-policy,6,0,0,0,0,tcp/57212,607128,United States,wan1,wan,162.142.125.239,20851,local,00:29:54,noop,traffic,+0200,root,"logver=0702111740 idseq=19900372806008861 itime=1751754594 devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 time=00:29:54 eventtime=1751754594441137879 tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" srcip=162.142.125.239 srcport=20851 srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 dstport=57212 dstintf=""root"" dstintfrole=""undefined"" srccountry=""United States"" dstcountry=""Italy"" sessionid=607128 proto=6 action=""deny"" policyid=0 policytype=""local-in-policy"" service=""tcp/57212"" trandisp=""noop"" app=""tcp/57212"" duration=0 sentbyte=0 rcvdbyte=0 sentpkt=0 rcvdpkt=0 appcat=""unscanned"" crscore=5 craction=262144 crlevel=""low""",E3,"logver=0702111740 idseq=19900372806008861 itime=1751754594 devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 time=00:29:54 eventtime=1751754594441137879 tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" srcip=162.142.125.239 srcport=20851 srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 dstport=57212 dstintf=""root"" dstintfrole=""undefined"" srccountry=""United States"" dstcountry=""Italy"" sessionid=607128 proto=6 action=""deny"" policyid=0 policytype=""local-in-policy"" service=""tcp/57212"" trandisp=""noop"" app=""tcp/57212"" duration=0 sentbyte=0 rcvdbyte=0 sentpkt=0 rcvdpkt=0 appcat=""unscanned"" crscore=5 craction=262144 crlevel=""low"""
4,N/A,deny,tcp/12586,unscanned,262144,low,5,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,12586,0,1751754596142048139,19900372806008841,1751754599,notice,0001000014,0702111740,0,local-in-policy,6,0,0,0,0,tcp/12586,607129,Hong Kong,wan1,wan,154.212.141.187,58914,local,00:29:56,noop,traffic,+0200,root,"logver=0702111740 idseq=19900372806008841 itime=1751754599 devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 time=00:29:56 eventtime=1751754596142048139 tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" srcip=154.212.141.187 srcport=58914 srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 dstport=12586 dstintf=""root"" dstintfrole=""undefined"" srccountry=""Hong Kong"" dstcountry=""Italy"" sessionid=607129 proto=6 action=""deny"" policyid=0 policytype=""local-in-policy"" service=""tcp/12586"" trandisp=""noop"" app=""tcp/12586"" duration=0 sentbyte=0 rcvdbyte=0 sentpkt=0 rcvdpkt=0 appcat=""unscanned"" crscore=5 craction=262144 crlevel=""low""",E3,"logver=0702111740 <*> <*> devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 <*> <*> tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" <*> <*> srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 <*> dstintf=""root"" dstintfrole=""undefined"" <*> <*> dstcountry=""Italy"" <*> proto=6 action=""deny"" policyid=0 policytype=""local-in-policy"" <*> trandisp=""noop"" <*> duration=0 sentbyte=0 rcvdbyte=0 sentpkt=0 rcvdpkt=0 appcat=""unscanned"" crscore=5 craction=262144 crlevel=""low"""
5,N/A,accept,SNMP,unscanned,,,,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,161,180,1751754604582841359,19900372806008859,1751754609,notice,0001000014,0702111740,0,local-in-policy,17,608,2,174,2,SNMP,607054,Italy,wan1,wan,212.131.197.170,54395,local,00:30:04,noop,traffic,+0200,root,"logver=0702111740 idseq=19900372806008859 itime=1751754609 devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 time=00:30:04 eventtime=1751754604582841359 tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" srcip=212.131.197.170 srcport=54395 srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 dstport=161 dstintf=""root"" dstintfrole=""undefined"" srccountry=""Italy"" dstcountry=""Italy"" sessionid=607054 proto=17 action=""accept"" policyid=0 policytype=""local-in-policy"" service=""SNMP"" trandisp=""noop"" app=""SNMP"" duration=180 sentbyte=174 rcvdbyte=608 sentpkt=2 rcvdpkt=2 appcat=""unscanned""",E2,"logver=0702111740 <*> <*> devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 <*> <*> tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" srcip=212.131.197.170 <*> srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 dstport=161 dstintf=""root"" dstintfrole=""undefined"" srccountry=""Italy"" dstcountry=""Italy"" <*> proto=17 action=""accept"" policyid=0 policytype=""local-in-policy"" service=""SNMP"" trandisp=""noop"" app=""SNMP"" duration=180 sentbyte=174 <*> sentpkt=2 rcvdpkt=2 appcat=""unscanned"""
6,N/A,deny,tcp/22323,unscanned,262144,low,5,2025-07-06,FGT80FTK22013405,asd-bari,Italy,root,undefined,93.64.253.210,22323,0,1751754607283946859,19900372806008860,1751754609,notice,0001000014,0702111740,0,local-in-policy,6,0,0,0,0,tcp/22323,607134,United Kingdom,wan1,wan,35.203.210.151,49800,local,00:30:07,noop,traffic,+0200,root,"logver=0702111740 idseq=19900372806008860 itime=1751754609 devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 time=00:30:07 eventtime=1751754607283946859 tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" srcip=35.203.210.151 srcport=49800 srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 dstport=22323 dstintf=""root"" dstintfrole=""undefined"" srccountry=""United Kingdom"" dstcountry=""Italy"" sessionid=607134 proto=6 action=""deny"" policyid=0 policytype=""local-in-policy"" service=""tcp/22323"" trandisp=""noop"" app=""tcp/22323"" duration=0 sentbyte=0 rcvdbyte=0 sentpkt=0 rcvdpkt=0 appcat=""unscanned"" crscore=5 craction=262144 crlevel=""low""",E3,"logver=0702111740 <*> <*> devid=""FGT80FTK22013405"" devname=""asd-bari"" vd=""root"" date=2025-07-06 <*> <*> tz=""+0200"" logid=""0001000014"" type=""traffic"" subtype=""local"" level=""notice"" <*> <*> srcintf=""wan1"" srcintfrole=""wan"" dstip=93.64.253.210 <*> dstintf=""root"" dstintfrole=""undefined"" <*> <*> dstcountry=""Italy"" <*> proto=6 action=""deny"" policyid=0 policytype=""local-in-policy"" <*> trandisp=""noop"" <*> duration=0 sentbyte=0 rcvdbyte=0 sentpkt=0 rcvdpkt=0 appcat=""unscanned"" crscore=5 craction=262144 crlevel=""low"""
