LineId,Timestamp,Content,EventId,Template,action,advpnsc,assignip,bytes=1516715254/6481088798,concurrent sessions:  44,cookies,date,devid,devname,dhcp_msg,duration,eventtime,group,hostname,idseq,interface,ip,itime,lease,level,locip,locport,logdesc,logid,logver,"logver=0702111740 idseq=19900372806008832 itime=1751754725 devid=""FGT80FTK22013405"" devname=""mg-project-bari"" vd=""root"" date=2025-07-06 time=00:32:01 eventtime=1751754720597425659 tz=""+0200"" logid=""0100040704"" type=""event"" subtype=""system"" level=""notice"" logdesc=""System performance statistics"" action=""perf-stats"" cpu=0 mem=40 totalsession=44 disk=0 bandwidth=""6/3"" setuprate=0 disklograte=0 fazlograte=0 freediskstorage=0 sysuptime=1115536 waninfo=""name=wan1",mac,memory:  40,msg,nextstat,outintf,"packets=7849124/10090377;"" msg=""Performance statistics: average CPU: 0",rcvdbyte,remip,remport,sentbyte,"setup-rate: 0""",subtype,time,tunnelid,tunnelip,tunneltype,type,tz,user,useralt,vd,vpntunnel,xauthgroup,xauthuser
1,N/A,logver=0702111740 idseq=19900372806008834 itime=1751754627 devid='FGT80FTK22013405' devname='mg-project-bari' vd='root' date=2025-07-06 time=00:30:24 eventtime=1751754624843767899 tz='+0200' logid='0100026001' type='event' subtype='system' level='information' logdesc='DHCP Ack log' interface='internal1' dhcp_msg='Ack' mac='9C:53:22:49:C7:8C' ip=10.63.44.101 lease=86400 hostname='ArcherAX55' msg='DHCP server sends a DHCPACK',E1,logver=0702111740 idseq=19900372806008834 itime=1751754627 devid='FGT80FTK22013405' devname='mg-project-bari' vd='root' date=2025-07-06 time=00:30:24 eventtime=1751754624843767899 tz='+0200' logid='0100026001' type='event' subtype='system' level='information' logdesc='DHCP Ack log' interface='internal1' dhcp_msg='Ack' mac='9C:53:22:49:C7:8C' ip=10.63.44.101 lease=86400 hostname='ArcherAX55' msg='DHCP server sends a DHCPACK',,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,1751754624843767899,,ArcherAX55,19900372806008834,internal1,10.63.44.101,1751754627,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,DHCP server sends a DHCPACK,,,,,,,,,system,00:30:24,,,,event,+0200,,,root,,,
2,N/A,logver=0702111740 idseq=19900372806008832 itime=1751754689 devid='FGT80FTK22013405' devname='mg-project-bari' vd='root' date=2025-07-06 time=00:31:24 eventtime=1751754684862908499 tz='+0200' logid='0101037141' type='event' subtype='vpn' level='notice' logdesc='IPsec tunnel statistics' msg='IPsec tunnel statistics' action='tunnel-stats' remip=88.61.48.146 locip=93.64.253.210 remport=500 locport=500 outintf='wan1' cookies='5df8cf6e832e3278/7c26da8af8e39c6e' user='88.61.48.146' group='N/A' useralt='N/A' xauthuser='N/A' xauthgroup='N/A' assignip=N/A vpntunnel='to-pescara-pri' tunnelip=N/A tunnelid=2206215695 tunneltype='ipsec' duration=1114987 sentbyte=400945590 rcvdbyte=185308176 nextstat=600 advpnsc=0,E2,logver=0702111740 idseq=19900372806008832 itime=1751754689 devid='FGT80FTK22013405' devname='mg-project-bari' vd='root' date=2025-07-06 time=00:31:24 eventtime=1751754684862908499 tz='+0200' logid='0101037141' type='event' subtype='vpn' level='notice' logdesc='IPsec tunnel statistics' msg='IPsec tunnel statistics' action='tunnel-stats' remip=88.61.48.146 locip=93.64.253.210 remport=500 locport=500 outintf='wan1' cookies='5df8cf6e832e3278/7c26da8af8e39c6e' user='88.61.48.146' group='N/A' useralt='N/A' xauthuser='N/A' xauthgroup='N/A' assignip=N/A vpntunnel='to-pescara-pri' tunnelip=N/A tunnelid=2206215695 tunneltype='ipsec' duration=1114987 sentbyte=400945590 rcvdbyte=185308176 nextstat=600 advpnsc=0,tunnel-stats,0,N/A,,,5df8cf6e832e3278/7c26da8af8e39c6e,2025-07-06,FGT80FTK22013405,mg-project-bari,,1114987,1751754684862908499,N/A,,19900372806008832,,,1751754689,,notice,93.64.253.210,500,IPsec tunnel statistics,0101037141,0702111740,,,,IPsec tunnel statistics,600,wan1,,185308176,88.61.48.146,500,400945590,,vpn,00:31:24,2206215695,N/A,ipsec,event,+0200,88.61.48.146,N/A,root,to-pescara-pri,N/A,N/A
3,N/A,logver=0702111740 idseq=19900372806008832 itime=1751754725 devid='FGT80FTK22013405' devname='mg-project-bari' vd='root' date=2025-07-06 time=00:32:01 eventtime=1751754720597425659 tz='+0200' logid='0100040704' type='event' subtype='system' level='notice' logdesc='System performance statistics' action='perf-stats' cpu=0 mem=40 totalsession=44 disk=0 bandwidth='6/3' setuprate=0 disklograte=0 fazlograte=0 freediskstorage=0 sysuptime=1115536 waninfo='name=wan1;bytes=1516715254/6481088798;packets=7849124/10090377;' msg='Performance statistics: average CPU: 0; memory:  40; concurrent sessions:  44; setup-rate: 0',E3,logver=0702111740 idseq=19900372806008832 itime=1751754725 devid='FGT80FTK22013405' devname='mg-project-bari' vd='root' date=2025-07-06 time=00:32:01 eventtime=1751754720597425659 tz='+0200' logid='0100040704' type='event' subtype='system' level='notice' logdesc='System performance statistics' action='perf-stats' cpu=0 mem=40 totalsession=44 disk=0 bandwidth='6/3' setuprate=0 disklograte=0 fazlograte=0 freediskstorage=0 sysuptime=1115536 waninfo='name=wan1;bytes=1516715254/6481088798;packets=7849124/10090377;' msg='Performance statistics: average CPU: 0; memory: 40; concurrent sessions: 44; setup-rate: 0',,,,bytes=1516715254/6481088798,concurrent sessions:  44,,,,,,,,,,,,,,,,,,,,,logver=0702111740 idseq=19900372806008832 itime=1751754725 devid='FGT80FTK22013405' devname='mg-project-bari' vd='root' date=2025-07-06 time=00:32:01 eventtime=1751754720597425659 tz='+0200' logid='0100040704' type='event' subtype='system' level='notice' logdesc='System performance statistics' action='perf-stats' cpu=0 mem=40 totalsession=44 disk=0 bandwidth='6/3' setuprate=0 disklograte=0 fazlograte=0 freediskstorage=0 sysuptime=1115536 waninfo='name=wan1,,memory:  40,,,,packets=7849124/10090377;' msg='Performance statistics: average CPU: 0,,,,,setup-rate: 0',,,,,,,,,,,,,
4,N/A,logver=0702111740 idseq=19900372806008868 itime=1751754739 devid='FGT80FTK22013405' devname='mg-project-bari' vd='root' date=2025-07-06 time=00:32:15 eventtime=1751754735214176279 tz='+0200' logid='0100026001' type='event' subtype='system' level='information' logdesc='DHCP Ack log' interface='internal1' dhcp_msg='Ack' mac='9C:53:22:49:C7:8C' ip=10.63.44.101 lease=86400 hostname='ArcherAX55' msg='DHCP server sends a DHCPACK',E1,logver=0702111740 <*> <*> devid='FGT80FTK22013405' devname='mg-project-bari' vd='root' date=2025-07-06 <*> <*> tz='+0200' logid='0100026001' type='event' subtype='system' level='information' logdesc='DHCP Ack log' interface='internal1' dhcp_msg='Ack' mac='9C:53:22:49:C7:8C' ip=10.63.44.101 lease=86400 hostname='ArcherAX55' msg='DHCP server sends a DHCPACK',,,,,,,2025-07-06,FGT80FTK22013405,mg-project-bari,Ack,,1751754735214176279,,ArcherAX55,19900372806008868,internal1,10.63.44.101,1751754739,86400,information,,,DHCP Ack log,0100026001,0702111740,,9C:53:22:49:C7:8C,,DHCP server sends a DHCPACK,,,,,,,,,system,00:32:15,,,,event,+0200,,,root,,,
